t,joy_roll,joy_pitch,joy_yaw,gyro_roll,gyro_pitch,gyro_yaw,out_roll,out_pitch,out_yaw
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.5000,0.0000,0.0000,1688.3717,0.0000,0.0000,5627.9056,0.0000
1.0167,0.0000,0.5000,0.0000,0.0000,1411.9931,0.0000,0.0000,767.1098,0.0000
1.0333,0.0000,0.5000,0.0000,0.0000,1385.2471,0.0000,0.0000,1322.8398,0.0000
1.0500,0.0000,0.5000,0.0000,0.0000,1064.9063,0.0000,0.0000,317.4443,0.0000
1.0667,0.0000,0.5000,0.0000,0.0000,849.1714,0.0000,0.0000,345.7899,0.0000
1.0833,0.0000,0.5000,0.0000,0.0000,639.7174,0.0000,0.0000,150.9913,0.0000
1.1000,0.0000,0.5000,0.0000,0.0000,491.0645,0.0000,0.0000,144.2080,0.0000
1.1167,0.0000,0.5000,0.0000,0.0000,375.3198,0.0000,0.0000,105.2487,0.0000
1.1333,0.0000,0.5000,0.0000,0.0000,293.1594,0.0000,0.0000,101.4518,0.0000
1.1500,0.0000,0.5000,0.0000,0.0000,234.6977,0.0000,0.0000,98.2871,0.0000
1.1667,0.0000,0.5000,0.0000,0.0000,194.6350,0.0000,0.0000,101.1554,0.0000
1.1833,0.0000,0.5000,0.0000,0.0000,167.4162,0.0000,0.0000,103.9058,0.0000
1.2000,0.0000,0.5000,0.0000,0.0000,149.2826,0.0000,0.0000,106.9708,0.0000
1.2167,0.0000,0.5000,0.0000,0.0000,137.3348,0.0000,0.0000,109.4566,0.0000
1.2333,0.0000,0.5000,0.0000,0.0000,129.5801,0.0000,0.0000,111.4857,0.0000
1.2500,0.0000,0.5000,0.0000,0.0000,124.6231,0.0000,0.0000,113.0567,0.0000
1.2667,0.0000,0.5000,0.0000,0.0000,121.5211,0.0000,0.0000,114.2830,0.0000
1.2833,0.0000,0.5000,0.0000,0.0000,119.6384,0.0000,0.0000,115.2455,0.0000
1.3000,0.0000,0.5000,0.0000,0.0000,118.5521,0.0000,0.0000,116.0174,0.0000
1.3167,0.0000,0.5000,0.0000,0.0000,117.9818,0.0000,0.0000,116.6513,0.0000
1.3333,0.0000,0.5000,0.0000,0.0000,117.7430,0.0000,0.0000,117.1856,0.0000
1.3500,0.0000,0.5000,0.0000,0.0000,117.7143,0.0000,0.0000,117.6473,0.0000
1.3667,0.0000,0.5000,0.0000,0.0000,117.8165,0.0000,0.0000,118.0550,0.0000
1.3833,0.0000,0.5000,0.0000,0.0000,117.9980,0.0000,0.0000,118.4215,0.0000
1.4000,0.0000,0.5000,0.0000,0.0000,118.2253,0.0000,0.0000,118.7556,0.0000
1.4167,0.0000,0.5000,0.0000,0.0000,118.4767,0.0000,0.0000,119.0635,0.0000
1.4333,0.0000,0.5000,0.0000,0.0000,118.7386,0.0000,0.0000,119.3496,0.0000
1.4500,0.0000,0.5000,0.0000,0.0000,119.0021,0.0000,0.0000,119.6170,0.0000
1.4667,0.0000,0.5000,0.0000,0.0000,119.2618,0.0000,0.0000,119.8678,0.0000
1.4833,0.0000,0.5000,0.0000,0.0000,119.5144,0.0000,0.0000,120.1039,0.0000
1.5000,0.0000,0.5000,0.0000,0.0000,119.7580,0.0000,0.0000,120.3264,0.0000
1.5167,0.0000,0.5000,0.0000,0.0000,119.9916,0.0000,0.0000,120.5366,0.0000
1.5333,0.0000,0.5000,0.0000,0.0000,120.2147,0.0000,0.0000,120.7352,0.0000
1.5500,0.0000,0.5000,0.0000,0.0000,120.4272,0.0000,0.0000,120.9231,0.0000
1.5667,0.0000,0.5000,0.0000,0.0000,120.6293,0.0000,0.0000,121.1009,0.0000
1.5833,0.0000,0.5000,0.0000,0.0000,120.8213,0.0000,0.0000,121.2692,0.0000
1.6000,0.0000,0.5000,0.0000,0.0000,121.0035,0.0000,0.0000,121.4285,0.0000
1.6167,0.0000,0.5000,0.0000,0.0000,121.1762,0.0000,0.0000,121.5794,0.0000
1.6333,0.0000,0.5000,0.0000,0.0000,121.3401,0.0000,0.0000,121.7223,0.0000
