t,joy_roll,joy_pitch,joy_yaw,gyro_roll,gyro_pitch,gyro_yaw,out_roll,out_pitch,out_yaw
1.0000,0.2000,0.6000,-0.0000,92.1206,2093.2229,438.3454,94.1347,6977.4097,390.2898
1.0167,0.2033,0.6000,0.0523,92.9860,1750.5721,417.5948,95.0052,951.0536,369.1767
1.0333,0.2067,0.6000,0.1040,93.8535,1717.7801,439.9881,95.8778,1641.2655,492.2392
1.0500,0.2100,0.6000,0.1545,94.7232,1321.0578,462.0915,96.7525,395.3724,513.6660
1.0667,0.2133,0.6000,0.2034,95.5951,1055.0768,483.2294,97.6294,434.4544,532.5513
1.0833,0.2167,0.6000,0.2500,96.4690,794.1478,497.4892,98.5083,185.3137,530.7620
1.1000,0.2200,0.6000,0.2939,97.3451,610.2103,504.6940,99.3893,181.0227,521.5052
1.1167,0.2233,0.6000,0.3346,98.2233,467.8965,504.4409,100.2724,135.8309,503.8503
1.1333,0.2267,0.6000,0.3716,99.1036,367.0540,496.9394,101.1576,131.7548,479.4358
1.1500,0.2300,0.6000,0.4045,99.9860,293.8860,482.3144,102.0449,123.1606,448.1896
1.1667,0.2333,0.6000,0.4330,100.8705,243.8722,460.7242,102.9342,127.1735,410.3468
1.1833,0.2367,0.6000,0.4568,101.7570,209.6008,432.3123,103.8256,129.6343,366.0180
1.2000,0.2400,0.6000,0.4755,102.6456,186.7422,397.2919,104.7190,133.4055,315.5775
1.2167,0.2433,0.6000,0.4891,103.5362,171.6160,355.9969,105.6145,136.3215,259.6418
1.2333,0.2467,0.6000,0.4973,104.4290,161.7745,308.9254,106.5120,138.8111,199.0919
1.2500,0.2500,0.6000,0.5000,105.3238,155.4590,256.7582,107.4116,140.7228,135.0349
1.2667,0.2533,0.6000,0.4973,106.2206,151.4884,200.3564,108.3132,142.2236,68.7520
1.2833,0.2567,0.6000,0.4891,107.1195,149.0605,140.7370,109.2170,143.3954,1.6251
1.3000,0.2600,0.6000,0.4755,108.0205,147.6418,79.0315,110.1227,144.3316,-64.9480
1.3167,0.2633,0.6000,0.4568,108.9235,146.8780,16.4252,111.0305,145.0959,-129.6559
1.3333,0.2667,0.6000,0.4330,109.8286,146.5356,-45.8945,111.9404,145.7366,-191.3072
1.3500,0.2700,0.6000,0.4045,110.7357,146.4611,-106.7992,112.8524,146.2874,-248.9102
1.3667,0.2733,0.6000,0.3716,111.6449,146.5543,-165.2730,113.7664,146.7716,-301.7118
1.3833,0.2767,0.6000,0.3346,112.5562,146.7496,-220.4577,114.6825,147.2054,-349.2222
1.4000,0.2800,0.6000,0.2939,113.4696,147.0047,-271.6841,115.6007,147.5998,-391.2124
1.4167,0.2833,0.6000,0.2500,114.3850,147.2921,-318.4863,116.5210,147.9626,-427.6913
1.4333,0.2867,0.6000,0.2034,115.3025,147.5942,-360.5983,117.4434,148.2992,-458.8598
1.4500,0.2900,0.6000,0.1545,116.2221,147.9000,-397.9343,118.3678,148.6134,-485.0514
1.4667,0.2933,0.6000,0.1040,117.1438,148.2024,-430.5524,119.2944,148.9080,-506.6612
1.4833,0.2967,0.6000,0.0523,118.0676,148.4972,-458.6088,120.2231,149.1850,-524.0739
1.5000,0.3000,0.6000,0.0000,118.9935,148.7819,-438.0309,121.1539,149.4462,-390.0157
1.5167,0.3033,0.6000,-0.0523,119.9215,149.0551,-417.2968,122.0869,149.6927,-368.9173
1.5333,0.3067,0.6000,-0.1040,120.8516,149.3163,-439.7057,123.0220,149.9256,-491.9930
1.5500,0.3100,0.6000,-0.1545,121.7839,149.5652,-461.8238,123.9592,150.1459,-513.4328
1.5667,0.3133,0.6000,-0.2034,122.7183,149.8019,-482.9757,124.8986,150.3544,-532.3300
1.5833,0.3167,0.6000,-0.2500,123.6549,150.0269,-497.2487,125.8402,150.5517,-530.5523
1.6000,0.3200,0.6000,-0.2939,124.5936,150.2404,-504.4660,126.7839,150.7385,-521.3065
1.6167,0.3233,0.6000,-0.3346,125.5344,150.4429,-504.2248,127.7298,150.9154,-503.6620
1.6333,0.3267,0.6000,-0.3716,126.4775,150.6349,-496.7346,128.6779,151.0830,-479.2574
1.6500,0.3300,0.6000,-0.4045,127.4227,150.8169,-482.1203,129.6283,151.2416,-448.0204
1.6667,0.3333,0.6000,-0.4330,128.3701,150.9894,-460.5401,130.5808,151.3919,-410.1864
1.6833,0.3367,0.6000,-0.4568,129.3198,151.1529,-432.1379,131.5356,151.5343,-365.8659
1.7000,0.3400,0.6000,-0.4755,130.2716,151.3078,-397.1265,132.4926,151.6691,-315.4333
1.7167,0.3433,0.6000,-0.4891,131.2257,151.4545,-355.8401,133.4518,151.7969,-259.5052
1.7333,0.3467,0.6000,-0.4973,132.1820,151.5935,-308.7768,134.4134,151.9178,-198.9623
1.7500,0.3500,0.6000,-0.5000,133.1405,151.7252,-256.6174,135.3771,152.0325,-134.9122
1.7667,0.3533,0.6000,-0.4973,134.1013,151.8499,-200.2229,136.3432,152.1410,-68.6357
1.7833,0.3567,0.6000,-0.4891,135.0644,151.9681,-140.6105,137.3116,152.2439,-1.5149
1.8000,0.3600,0.6000,-0.4755,136.0298,152.0801,-78.9116,138.2822,152.3413,65.0524
1.8167,0.3633,0.6000,-0.4568,136.9974,152.1861,-16.3117,139.2552,152.4336,129.7548
1.8333,0.3667,0.6000,-0.4330,137.9673,152.2866,46.0021,140.2306,152.5210,191.4009
1.8500,0.3700,0.6000,-0.4045,138.9396,152.3817,106.9012,141.2082,152.6038,248.9990
1.8667,0.3733,0.6000,-0.3716,139.9142,152.4719,165.3696,142.1882,152.6822,301.7960
1.8833,0.3767,0.6000,-0.3346,140.8911,152.5573,220.5493,143.1706,152.7565,349.3019
1.9000,0.3800,0.6000,-0.2939,141.8704,152.6382,271.7709,144.1554,152.8269,391.2880
1.9167,0.3833,0.6000,-0.2500,142.8520,152.7148,318.5685,145.1425,152.8936,427.7629
1.9333,0.3867,0.6000,-0.2034,143.8360,152.7874,360.6763,146.1320,152.9568,458.9277
1.9500,0.3900,0.6000,-0.1545,144.8224,152.8562,398.0081,147.1240,153.0166,485.1158
1.9667,0.3933,0.6000,-0.1040,145.8112,152.9213,430.6224,148.1184,153.0733,506.7222
1.9833,0.3967,0.6000,-0.0523,146.8024,152.9830,458.6752,149.1152,153.1270,524.1317
2.0000,0.4000,0.6000,-0.0000,147.7961,153.0415,438.0938,150.1145,153.1779,390.0705
2.0167,0.4000,0.6000,0.0523,136.4717,153.0968,417.3564,110.0483,153.2260,368.9692
